Function Number,Run Number,Error,Time
10,14,0.16022213818240516,13.572442770004272
10,15,0.051797422386130165,13.638177156448364
10,16,0.14044374656049285,13.678772211074829
10,17,0.21190820258817666,13.593941450119019
10,18,0.1256588726466248,13.697929859161377
10,19,0.17002029875692415,13.680095911026001
10,20,0.18718264532367357,13.553789138793945
10,21,0.170079480222455,13.796717643737793
10,22,0.1404116589164346,14.710778713226318
10,23,0.12324190368542531,13.55989956855774
10,24,0.08625926313698073,13.618052959442139
10,25,0.12806123735896335,13.678121328353882
10,26,0.11828496463095917,14.889503002166748
10,27,0.12072911498637495,13.735713958740234
10,28,0.05669970850573236,13.763986349105835
10,29,0.09853388085701908,13.62715768814087
10,30,0.06656436227638096,13.63474440574646
11,1,38.803357840828596,26.318849086761475
11,2,51.73778523837217,27.53028964996338
11,3,38.80336796190488,26.805495262145996
11,4,48.75601062704902,26.51524043083191
11,5,65.67710334389108,26.150181531906128
11,6,89.5459512760358,27.29359769821167
11,7,41.788224936470385,26.419995069503784
11,8,74.62191190898119,27.166568517684937
11,9,61.68736069252634,27.408962965011597
11,10,41.403614871406035,26.11334800720215
11,11,62.682314711800586,26.246572494506836
11,12,40.793265879376975,25.839174509048462
11,13,48.75289304216068,26.049396753311157
11,14,56.71257548269796,25.791513204574585
11,15,70.75984382780649,26.149835348129272
11,16,66.66196806772712,26.209864377975464
11,17,53.72768315252273,28.394036769866943
11,18,69.64694211965104,26.553930044174194
11,19,61.68730495730591,27.330991744995117
11,20,64.67223282598866,27.09785008430481
11,21,76.6117263976497,25.75116729736328
11,22,50.742780563812346,26.174752950668335
11,23,55.7176113877868,27.63791513442993
11,24,59.6973818054239,27.812697887420654
11,25,49.74786712086404,27.50101399421692
11,26,63.67725860999974,27.78347373008728
11,27,77.71947657831373,26.921281814575195
11,28,66.66211558982684,26.155683517456055
11,29,63.677238413359646,27.642038106918335
11,30,57.70749510147107,26.37990665435791
12,1,60.712529018770056,33.75980472564697
12,2,69.57216656180725,30.813420295715332
12,3,51.73780543176525,30.75128483772278
12,4,35.906735728525575,31.87142848968506
12,5,45.76824226007511,31.18390130996704
12,6,57.70754435861198,31.54455852508545
12,7,92.81284084733619,29.46939182281494
12,8,67.65976323317611,30.666448831558228
12,9,71.6385423065982,31.216312646865845
12,10,68.90865622388614,29.5541775226593
12,11,59.69840488212279,30.70490574836731
12,12,82.77992641349596,30.489373445510864
12,13,54.2759912924578,30.091649055480957
12,14,105.62778714615524,30.56973958015442
12,15,65.66711125163056,29.855610847473145
12,16,96.49613843010155,31.11461043357849
12,17,60.69458603662383,31.123029947280884
12,18,59.70849505483221,30.568725109100342
12,19,72.78053045738312,30.58574390411377
12,20,60.6935480909265,31.082451581954956
