Function Number,Run Number,Error,Time
16,5,1.9211165606621137,370.9521150588989
16,6,1.2882762208142537,379.3370449542999
16,7,1.7985721533581511,374.0031831264496
16,8,1.936982436953258,377.3134458065033
16,9,2.0106229301887026,387.2186861038208
16,10,2.1617072059962936,372.3984634876251
16,11,1.3948306648674134,503.2453773021698
16,12,1.6465574357199557,379.3473114967346
16,13,1.5325107673273806,395.236346244812
16,14,2.192558975759084,380.30406284332275
16,15,0.6643565987166937,383.30720043182373
16,16,1.7649935188248946,365.0183732509613
16,17,1.642024664417164,363.1378848552704
16,18,1.750376708295505,367.1367561817169
16,19,1.5421584895334775,450.1292722225189
16,20,1.7789266913722201,547.5713806152344
16,21,0.9598055160472256,567.8934030532837
16,22,1.3506857013098852,1637.6709985733032
16,23,1.4539253024378809,400.90434551239014
16,24,0.7600544222673307,364.9268910884857
16,25,1.9070774334169585,364.885626077652
16,26,1.7231899045196144,362.54457235336304
16,27,1.3750955669183327,370.9734568595886
16,28,1.5807008529711197,368.86810302734375
16,29,1.6335187342614859,367.7074828147888
16,30,1.5952658860746567,362.58651423454285
17,1,123.41660902213772,121.91795921325684
17,2,88.69456679472455,123.66012644767761
17,3,112.64985605039271,123.0094792842865
17,4,98.80481943927077,125.24730706214905
17,5,150.5075882119229,123.95921850204468
17,6,119.72793070560147,121.45789694786072
17,7,103.99267436239239,354.1535394191742
17,8,94.63307543403107,131.5611822605133
17,9,105.47676546256343,121.96553945541382
17,10,106.93097909682496,122.27567934989929
17,11,88.86818419379063,123.26452827453613
17,12,97.22318129318455,124.16737532615662
17,13,120.11940149877222,120.76437568664551
17,14,92.31399089764432,215.00220203399658
17,15,100.63352396343953,118.38232707977295
17,16,129.71018391483415,122.76122760772705
17,17,106.44325695232658,126.58365488052368
17,18,99.27846640692638,123.14320254325867
17,19,79.33805229066934,139.58389043807983
17,20,117.64767641521416,137.2332365512848
17,21,104.35211175351537,124.69890451431274
17,22,113.537449052449,125.69807887077332
17,23,116.50430934869064,174.20478630065918
17,24,93.98407669065,160.46869730949402
17,25,82.69895003595798,121.27536177635193
17,26,91.65565573837091,122.01115417480469
17,27,97.79656465882022,123.0754325389862
17,28,110.7828967881386,124.10775065422058
17,29,96.62091055304802,121.56869196891785
17,30,88.38336018116581,123.0816490650177
18,1,185.50772516534016,118.10523295402527
18,2,228.4346751883777,117.10232901573181
18,3,189.8306768255053,119.83619928359985
18,4,136.68180209823413,118.79631400108337
18,5,142.55218904372873,123.70123076438904
18,6,168.11143848877657,117.57552480697632
18,7,160.85455011186014,123.44334363937378
18,8,133.72817195710513,123.65951657295227
18,9,216.9728937111771,118.73567795753479
18,10,133.88675397527868,120.52957510948181
18,11,178.90157447410377,117.7065076828003
18,12,134.0902662194602,122.30538702011108
18,13,185.23889863104887,118.90252900123596
18,14,192.80394010050054,118.63770842552185
18,15,213.3715384689093,122.70300483703613
18,16,192.16557593383027,121.70863223075867
18,17,105.5645702669616,119.48556447029114
18,18,200.1059767830941,118.54320025444031
18,19,163.12912307372426,121.73115587234497
18,20,184.32894787761745,117.0336103439331
18,21,176.89093982219833,124.84393072128296
18,22,165.0454457100211,120.67629289627075
18,23,118.0514640468217,122.47120428085327
18,24,111.50360495236322,120.49376726150513
18,25,105.323821641228,122.9656412601471
18,26,153.45569118603885,121.3040189743042
18,27,171.57742247231613,120.1338586807251
18,28,189.58248900889498,117.23391151428223
18,29,186.32556585988686,119.78366088867188
18,30,207.4550708602876,122.49973726272583
19,1,5.933362089628645,62.705108642578125
19,2,7.512430719020415,62.75861573219299
19,3,5.075332477926736,62.12170195579529
19,4,7.885414054274463,61.955068588256836
19,5,7.339951133697696,62.386250734329224
19,6,4.350132918259078,62.88078022003174
19,7,5.28893848622954,62.6657612323761
19,8,6.341126324926506,62.15295338630676
19,9,6.387171197265502,61.674307107925415
19,10,3.19520959083394,62.49100065231323
19,11,2.305492798906357,60.310728549957275
19,12,4.570995887520496,61.91816329956055
19,13,6.023769028216748,62.526386976242065
19,14,6.651246359167942,63.19398522377014
19,15,6.148413325977572,61.5889630317688
19,16,5.612330755923665,62.26936078071594
19,17,4.3948196891295765,60.3528048992157
19,18,6.229590267210597,62.330925941467285
19,19,6.0251669788132745,62.00252079963684
19,20,4.706021804903571,61.51200079917908
19,21,4.527731757490415,63.23093605041504
19,22,5.767427459912653,63.16861915588379
19,23,5.351237883668432,62.48517847061157
19,24,4.081125411664914,62.52029776573181
19,25,3.8054491983245384,61.43209528923035
19,26,4.754742797184633,61.793885946273804
19,27,4.697065647390787,62.26971411705017
19,28,4.9341068090657245,62.510114431381226
19,29,6.482669019202945,60.71646285057068
19,30,5.226182459710969,61.77252006530762
20,1,12.059721290304083,74.92204642295837
20,2,11.676015746974372,74.98874521255493
20,3,11.866401015297129,77.57336854934692
20,4,11.274366847935653,76.35070443153381
20,5,11.939026131996911,75.75580883026123
20,6,11.957788099389063,77.71786117553711
20,7,11.750200362465876,75.50039029121399
20,8,12.265332609047391,77.53264808654785
20,9,11.093479373949208,77.63442492485046
20,10,11.601139910553684,75.16874122619629
20,11,11.548438889888985,77.9731457233429
20,12,12.066911840832518,76.74038696289062
20,13,12.12466768559625,75.50200343132019
20,14,12.033992089011804,75.81646227836609
20,15,11.63194645746944,75.9001100063324
20,16,12.58005994500877,73.98995637893677
20,17,11.933679862725512,76.11126255989075
20,18,10.290542725774003,77.66378831863403
20,19,11.860772760664986,77.35448956489563
20,20,12.475391139244948,75.57254457473755
20,21,12.391414284392567,78.50650954246521
20,22,11.377236455971456,76.90044045448303
