Step #188 Reward:-42.19202709197998 Current Epsilon: 0.48032452874937376
Step #189 Reward:-52.872287586592364 Current Epsilon: 0.4784657264731154
Step #190 Reward:-52.732825122035194 Current Epsilon: 0.4766142704985935
Step #191 Reward:-75.61673284892458 Current Epsilon: 0.47477013179197797
Step #192 Reward:-79.59643544952496 Current Epsilon: 0.4729332814341856
Step #193 Reward:-61.69733129537542 Current Epsilon: 0.4711036906204261
Step #194 Reward:-50.77475690841675 Current Epsilon: 0.4692813306597507
Step #195 Reward:-61.6873899443319 Current Epsilon: 0.4674661729746022
Step #196 Reward:-37.80842890953659 Current Epsilon: 0.46565818910036644
Step #197 Reward:-68.65202364799424 Current Epsilon: 0.46385735068492656
Step #198 Reward:-64.67227813895553 Current Epsilon: 0.46206362948821805
Step #199 Reward:-54.960950342347815 Current Epsilon: 0.4602769973817856
step = 200: loss = 0.3780863881111145
Step #200 Reward:-35.818483678420534 Current Epsilon: 0.4584974263483428
Step #201 Reward:-65.65789133310318 Current Epsilon: 0.45672488848133197
Step #202 Reward:-41.7884127497673 Current Epsilon: 0.4549593559844869
Step #203 Reward:-66.13672367111533 Current Epsilon: 0.45320080117139705
Step #204 Reward:-63.67866590619087 Current Epsilon: 0.45144919646507325
Step #205 Reward:-73.39753675460815 Current Epsilon: 0.4497045143975153
Step #206 Reward:-46.58425100624706 Current Epsilon: 0.447966727609281
Step #207 Reward:-75.61666759983143 Current Epsilon: 0.4462358088490575
Step #208 Reward:-51.73780542765229 Current Epsilon: 0.44451173097323377
Step #209 Reward:-44.220642776162094 Current Epsilon: 0.4427944669454748
Step #210 Reward:-62.712551197677385 Current Epsilon: 0.44108398983629776
Step #211 Reward:-58.702494073345235 Current Epsilon: 0.43938027282264985
Step #212 Reward:-48.75292982502532 Current Epsilon: 0.4376832891874874
Step #213 Reward:-79.59650516985857 Current Epsilon: 0.43599301231935705
Step #214 Reward:-47.83447668887675 Current Epsilon: 0.43430941571197856
Step #215 Reward:-56.71259605884552 Current Epsilon: 0.4326324729638287
Step #216 Reward:-74.62180025840644 Current Epsilon: 0.4309621577777277
Step #217 Reward:-52.732656014506944 Current Epsilon: 0.42929844396042677
Step #218 Reward:-49.22402612073347 Current Epsilon: 0.4276413054221973
Step #219 Reward:-77.60961937904358 Current Epsilon: 0.4259907161764215
Step #220 Reward:-45.768072747653804 Current Epsilon: 0.4243466503391852
Step #221 Reward:-78.60162406595646 Current Epsilon: 0.42270908212887204
Step #222 Reward:-72.63188124771276 Current Epsilon: 0.4210779858657587
Step #223 Reward:-43.87653732299805 Current Epsilon: 0.4194533359716127
Step #224 Reward:-50.74285137697956 Current Epsilon: 0.41783510696929077
Step #225 Reward:-60.69243651897301 Current Epsilon: 0.41622327348233995
Step #226 Reward:-55.718735486269 Current Epsilon: 0.41461781023459926
Step #227 Reward:-69.680382134507 Current Epsilon: 0.4130186920498033
Step #228 Reward:-58.702496168665505 Current Epsilon: 0.41142589385118744
Step #229 Reward:-60.6960795680061 Current Epsilon: 0.4098393906610949
Step #230 Reward:-60.72296857833862 Current Epsilon: 0.40825915760058484
Step #231 Reward:-57.37718686278012 Current Epsilon: 0.40668516988904196
Step #232 Reward:-44.77780294418335 Current Epsilon: 0.4051174028437884
Step #233 Reward:-86.08879971785399 Current Epsilon: 0.40355583187969635
Step #234 Reward:-80.59156634413739 Current Epsilon: 0.40200043250880246
Step #235 Reward:-56.7125738337636 Current Epsilon: 0.4004511803399242
Step #236 Reward:-42.8636557340312 Current Epsilon: 0.3989080510782769
Step #237 Reward:-48.752903633280084 Current Epsilon: 0.39737102052509327
