Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-03-18 05:31:52.362440: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-18 05:31:55.375589: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30989 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
2024-03-18 05:31:59.874948: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, num_actions=3, num_episodes=20, num_swarm_obs_intervals=10, swarm_obs_interval_length=30, policy='ExponentialDecayGreedyEpsilon', train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 20
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 30 Number of Observations in each Interval  = 300  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 20 Episodes x 300 Observations per Episode  = 300000 Function Evaluations

num_actions: 3
Action #1 Description: Do nothing
Action #2 Description: Decrease Threshold for Replacement
Action #3 Description: Increase Threshold for Replacement
Step #245 Reward:-22.5159912109375 Current Epsilon: 0.3852914571387
Step #246 Reward:-324.2371025085449 Current Epsilon: 0.3838082416733177
Step #247 Reward:-134.52837133407593 Current Epsilon: 0.38233088812691834
Step #248 Reward:-14.044848889112473 Current Epsilon: 0.38085937333220427
Step #249 Reward:-13.783739355392754 Current Epsilon: 0.379393674213439
Step #250 Reward:-13.421104937791824 Current Epsilon: 0.3779337677860852
Step #251 Reward:-17.64007106423378 Current Epsilon: 0.3764796311564442
Step #252 Reward:-74.85907515883446 Current Epsilon: 0.3750312415212974
Step #253 Reward:-113.93511962890625 Current Epsilon: 0.3735885761675481
Step #254 Reward:-78.54170945286751 Current Epsilon: 0.3721516124718657
Step #255 Reward:-74.57782888412476 Current Epsilon: 0.37072032790033094
Step #256 Reward:-26.407418024607864 Current Epsilon: 0.36929470000808234
Step #257 Reward:-13.927504532039165 Current Epsilon: 0.36787470643896425
Step #258 Reward:-6.913319230079651 Current Epsilon: 0.36646032492517655
Step #259 Reward:-14.133207127451897 Current Epsilon: 0.365051533286925
Step #260 Reward:-13.856024783104658 Current Epsilon: 0.3636483094320738
Step #261 Reward:-72.40174617199227 Current Epsilon: 0.36225063135579916
Step #262 Reward:-73.60192742943764 Current Epsilon: 0.36085847714024366
Step #263 Reward:-19.684783264499856 Current Epsilon: 0.3594718249541732
Step #264 Reward:-78.23149029910564 Current Epsilon: 0.3580906530526347
Step #265 Reward:-12.926079459488392 Current Epsilon: 0.3567149397766144
Step #266 Reward:-74.04292802512646 Current Epsilon: 0.3553446635526989
Step #267 Reward:-15.962511386722326 Current Epsilon: 0.3539798028927364
Step #268 Reward:-26.407418742295476 Current Epsilon: 0.3526203363935
Step #269 Reward:-26.407425420729965 Current Epsilon: 0.351266242736352
Step #270 Reward:-16.368509028814174 Current Epsilon: 0.3499175006869096
Step #271 Reward:-76.63463348150253 Current Epsilon: 0.34857408909471177
Step #272 Reward:-43.10036563873291 Current Epsilon: 0.34723598689288787
